fips,cancer_incidence_rate_per_100000,cancer_mortality_rate_per_100000,breast_cancer_incidence_rate_per_100000,breast_cancer_mortality_rate_per_100000,colorectal_cancer_incidence_rate_per_100000,colorectal_cancer_mortality_rate_per_100000,leukemia_cancer_incidence_rate_per_100000,leukemia_cancer_mortality_rate_per_100000,lung_cancer_incidence_rate_per_100000,lung_cancer_mortality_rate_per_100000,non_hodgkin_lymphoma_cancer_incidence_rate_per_100000,non_hodgkin_lymphoma_cancer_mortality_rate_per_100000,prostate_cancer_incidence_rate_per_100000,prostate_cancer_mortality_rate_per_100000,median_household_income,over_65_percent,uv_exposure,low_income_low_access_share,non_english_speaking,population_in_poverty_percent,population_over_25_no_high_school_diploma_percent,population_uninsured_percent,population_minority_percent,walkability_index,hospital_beds_per_100000,median_aqi,pesticide_mass,population
51117,464.8,182.74,120.1,26.77,41.0,16.85,19.2,10.54,72.6,51.92,14.8,5.0592975116944015,129.9,20.59,,25.61023237648897,4352.0,9.542579521496013,1.0,24.05129206535182,11.319403762286012,8.116904250471912,39.80016923777908,5.919057498885889,227.8200872225477,,129418.8,30726.0
51119,454.3,176.81,128.4,17.901163960379396,37.1,17.21,9.131338987192404,5.767699511626214,60.3,42.83,14.3,5.0592975116944015,103.7,18.668440836763804,51917.0,32.06164254839316,4170.0,0.2737476047084588,0.6,16.604021800413456,9.509490697237364,7.987220447284344,22.279646682954333,5.8788940810957016,,,24109.75,10642.0
51121,,134.4200619587947,113.8,17.56,29.822372072040253,12.01,7.8,5.05,40.39309708817822,39.22,13.7,5.85,,12.93,54641.0,12.699121782831616,4183.0,4.402915501313671,2.6,25.278440529976145,3.540281232549876,5.907914107315093,16.618102441748313,9.361361401830957,335.04238793847406,,23301.85,98495.0
51125,514.5,204.94,141.0,17.901163960379396,42.3,17.33,22.9,5.767699511626214,70.8,55.49,22.4,5.0592975116944015,120.6,18.668440836763804,62446.0,27.06589251957872,4225.0,2.1105193075898803,1.2,15.69673237915204,11.031596003240615,8.128544423440454,18.74831217931407,5.154469349288212,,,16744.15,14812.0
51127,512.4,178.84,156.2,28.14,48.5,16.29,9.131338987192404,5.767699511626214,74.4,49.39,21.4,5.0592975116944015,117.0,18.668440836763804,79698.0,17.355445988346034,4193.0,0.0,1.1,8.45360824742268,4.791573285522188,5.401165396683102,21.645002241147463,5.742224644305027,421.335723890632,,19065.7,22310.0
51131,526.1,203.23,134.1,25.01,29.822372072040253,12.83,16.8,5.767699511626214,82.4,50.6,19.3,5.0592975116944015,128.1,37.75,,26.75460848976831,4164.0,0.0,3.4,25.11415525114155,11.018095721292068,9.732792152883476,45.34077456451885,6.411125979064732,439.7091155082023,,52057.9,11826.0
51133,442.0,134.4200619587947,121.0,17.901163960379396,55.1,17.05,9.131338987192404,5.767699511626214,40.39309708817822,27.803400262631644,,5.0592975116944015,119.0,18.668440836763804,58677.0,38.5153485309851,4154.0,2.100567721005677,0.2,19.47987819932516,6.29577812525718,9.82635174059748,30.68883219488108,5.572295399412502,,,53069.95,12151.0
51135,483.7,177.76,119.0,31.71,47.4,18.58,9.131338987192404,5.767699511626214,59.1,27.803400262631644,16.2,5.0592975116944015,125.3,18.668440836763804,,19.187638544790715,4292.0,21.768750394247142,2.2,23.855783022558352,12.804798539574913,12.107184769852656,45.859955665666966,5.6658924730362585,801.9298474377364,,10897.35,15338.0
51137,441.0,166.72,139.7,18.33,29.822372072040253,14.66,6.4,5.767699511626214,69.4,41.99,17.6,7.3,98.4,18.73,68481.0,19.88164707816224,4169.0,9.95191302529793,2.4,16.09270978877291,7.290211227089668,7.810744911098326,22.28706062847593,5.394960500357829,,,30765.75,36501.0
51139,446.7,186.4,130.2,23.68,41.6,19.74,17.7,5.767699511626214,68.1,46.98,24.3,5.0592975116944015,,21.72,47951.0,21.238789707484703,,0.0,0.6,20.70656273573045,11.843097812421425,12.207694241890872,6.604643366021288,5.197720605798434,104.76908892800267,46.0,31155.2,23862.0
51141,,162.49,117.5,22.45,29.822372072040253,12.38,9.131338987192404,5.767699511626214,40.39309708817822,50.48,13.7,5.0592975116944015,,18.668440836763804,,26.698754246885617,4278.0,3.1422390481341265,1.3,20.79841449603624,13.5277463193658,8.420158550396376,10.277463193657985,4.324514250548407,141.56285390713475,,10784.0,17660.0
51143,,159.71,122.2,20.96,43.3,16.4,13.6,5.63,58.9,43.08,15.2,5.0592975116944015,,21.93,,22.5984523633496,4367.0,5.92384971498756,1.4,25.53107595248657,11.789639706244763,7.644536448321751,26.10938603841162,4.107159456950143,,,94574.95,60867.0
51145,,134.4200619587947,128.4,23.73,37.2,,11.5,5.767699511626214,40.39309708817822,39.57,18.3,5.0592975116944015,103.5,18.668440836763804,83914.0,18.36051003315899,4249.0,1.0946302503030736,0.6,7.08987112432913,7.763306327556148,4.857621440536013,14.883943527159609,5.176220806749562,,,10827.95,29253.0
51147,514.4,182.5,158.7,17.901163960379396,49.1,20.5,17.7,5.767699511626214,77.3,55.56,14.7,5.0592975116944015,120.5,18.668440836763804,46189.0,16.372531888869474,4319.0,5.126668948990072,2.8,24.432116023064825,8.439629564913508,8.190634282718854,38.98741918574174,5.801061450875414,506.7272409575397,39.0,9022.1,22892.0
51149,476.9,134.4200619587947,134.0,17.901163960379396,29.822372072040253,14.12,15.0,5.767699511626214,85.8,46.78,21.8,5.0592975116944015,142.3,18.668440836763804,67001.0,13.895852919669904,4221.0,6.947515745276417,2.0,13.496291653609108,7.087642327379087,4.460461715240782,45.534315261673456,5.250690522624796,,,54235.4,38292.0
51153,,134.4200619587947,108.2,18.36,29.822372072040253,11.96,7.5,4.36,40.39309708817822,27.803400262631644,14.2,6.03,88.2,17.23,103445.0,9.89837929542407,4123.0,3.815403903463167,13.4,11.215764061743574,6.936512764708655,10.550645411431043,58.292455133944834,8.819024964248015,64.04846262268815,31.0,15879.5,466834.0
51155,,134.4200619587947,,15.19,44.9,15.83,11.9,5.767699511626214,74.3,43.07,,5.0592975116944015,87.7,19.51,52638.0,22.671708732741184,4163.0,3.9028446891488873,1.1,19.97772110339167,8.210945973675726,6.211708146454431,9.342479406677809,6.177464898254017,474.8922698091637,,13824.5,34113.0
51157,,134.4200619587947,110.2,17.901163960379396,46.3,,9.131338987192404,5.767699511626214,40.39309708817822,27.803400262631644,,5.0592975116944015,107.4,18.668440836763804,68438.0,25.9375,,5.12681405126814,0.7,14.130434782608695,6.779891304347826,13.464673913043478,11.72554347826087,5.370021822228451,,,16100.2,7360.0
51159,536.4,195.68,149.4,17.901163960379396,52.8,,9.131338987192404,5.767699511626214,85.3,58.76,,5.0592975116944015,150.5,18.668440836763804,49831.0,21.617696346776896,4161.0,2.3773503349902745,3.3,24.019662607529884,15.383756004915652,5.094402860015641,39.41459054854206,5.111079822758504,,,44494.35,8951.0
