Screening and Risk Factors, US by County (UV Only), UV Exposure Data, Ultraviolet Exposure
Area,County FIPS,Watt-Hours Per Square Meter
"McDowell, North Carolina","37111","4290"
"Bingham, Idaho","16011","4288"
"Macon, North Carolina","37113","4288"
"Jefferson, Kansas","20087","4287"
"Leavenworth, Kansas","20103","4287"
"Surry, North Carolina","37171","4287"
"Bradley, Tennessee","47011","4287"
"Brown, Nebraska","31017","4287"
"Caldwell, North Carolina","37027","4285"
"Williamson, Illinois","17199","4284"
"Platte, Nebraska","31141","4284"
"Davidson, Tennessee","47037","4283"
"Nemaha, Kansas","20131","4282"
"Carroll, Missouri","29033","4282"
"Greensville, Virginia","51081","4282"
"Randolph, Illinois","17157","4281"
"Caldwell, Kentucky","21033","4281"
"Clay, Missouri","29047","4281"
"Ray, Missouri","29177","4281"
"Buckingham, Virginia","51029","4280"
"Emporia, Virginia","51595","4280"
"Bonneville, Idaho","16019","4280"
"Rutherford, Tennessee","47149","4279"
"Crittenden, Kentucky","21055","4279"
"Rock, Nebraska","31149","4279"
"Tyrrell, North Carolina","37177","4278"
"Patrick, Virginia","51141","4278"
"Jefferson, Missouri","29099","4277"
"Chariton, Missouri","29041","4277"
"Platte, Missouri","29165","4277"
"Montgomery, Missouri","29139","4277"
"Pawnee, Nebraska","31133","4276"
"Christian, Kentucky","21047","4276"
"Randolph, Missouri","29175","4276"
"Cumberland, Virginia","51049","4276"
"Hardin, Illinois","17069","4275"
"Audrain, Missouri","29007","4274"
"Butler, Nebraska","31023","4273"
"Wilkes, North Carolina","37193","4273"
"Bennett, South Dakota","46007","4272"
"Warren, Missouri","29219","4272"
"Saline, Illinois","17165","4272"
"Perry, Illinois","17145","4271"
"Atchison, Kansas","20005","4271"
"Amelia, Virginia","51007","4271"
"Marion, Tennessee","47115","4271"
"Dare, North Carolina","37055","4270"
"Coffee, Tennessee","47031","4270"
"Lancaster, Nebraska","31109","4270"
"Hamilton, Tennessee","47065","4269"
"Monroe, Illinois","17133","4269"
"Franklin, Illinois","17055","4268"
"Hertford, North Carolina","37091","4267"
"Jackson, North Carolina","37099","4266"
"Chowan, North Carolina","37041","4265"
"Weston, Wyoming","56045","4264"
"Johnson, Nebraska","31097","4263"
"Robertson, Tennessee","47147","4263"
"Custer, South Dakota","46033","4263"
"Todd, Kentucky","21219","4262"
"Clinton, Missouri","29049","4262"
"McMinn, Tennessee","47107","4262"
"Caldwell, Missouri","29025","4261"
"Gallatin, Illinois","17059","4261"
"Buchanan, Missouri","29021","4261"
"Brown, Kansas","20013","4261"
"Antelope, Nebraska","31003","4260"
"Amherst, Virginia","51009","4260"
"Holt, Nebraska","31089","4260"
"Monroe, Tennessee","47123","4259"
"Dinwiddie, Virginia","51053","4259"
"Monroe, Missouri","29137","4259"
"Hopkins, Kentucky","21107","4258"
"Madison, Nebraska","31119","4258"
"Livingston, Missouri","29117","4256"
"Union, Kentucky","21225","4256"
"Grant, Oregon","41023","4256"
"Doniphan, Kansas","20043","4255"
"Washington, Illinois","17189","4254"
"St. Clair, Illinois","17163","4253"
"Richardson, Nebraska","31147","4253"
"Perquimans, North Carolina","37143","4253"
"Buncombe, North Carolina","37021","4253"
"Webster, Kentucky","21233","4252"
"Jackson, South Dakota","46071","4252"
"Wilson, Tennessee","47189","4252"
"Hamilton, Illinois","17065","4251"
"St. Charles, Missouri","29183","4251"
"Cannon, Tennessee","47015","4250"
"Teton, Idaho","16081","4250"
"Powhatan, Virginia","51145","4249"
"St. Louis, Missouri","29189","4249"
"Roanoke, Virginia","51770","4249"
"Johnson, Wyoming","56019","4249"
"Graham, North Carolina","37075","4248"
"Big Horn, Wyoming","56003","4248"
"Mendocino, California","6045","4248"
"Todd, South Dakota","46121","4247"
"Jefferson, Illinois","17081","4247"
"Meigs, Tennessee","47121","4247"
"Linn, Missouri","29115","4246"
"Keya Paha, Nebraska","31103","4246"
"Logan, Kentucky","21141","4246"
"Lincoln, Missouri","29113","4245"
"Gates, North Carolina","37073","4245"
"St. Louis, Missouri","29510","4245"
"Madison, Idaho","16065","4245"
"Southampton, Virginia","51175","4245"
"DeKalb, Missouri","29063","4244"
"Colfax, Nebraska","31037","4243"
"Muhlenberg, Kentucky","21177","4243"
"Nemaha, Nebraska","31127","4242"
"Macon, Missouri","29121","4241"
"Daviess, Missouri","29061","4241"
"Sumner, Tennessee","47165","4241"
"Sussex, Virginia","51183","4241"
"Grundy, Tennessee","47061","4240"
"White, Illinois","17193","4240"
"Holt, Missouri","29087","4240"
"Andrew, Missouri","29003","4240"
"Clinton, Illinois","17027","4240"
"Pennington, South Dakota","46103","4239"
"Warren, Tennessee","47177","4239"
"Pasquotank, North Carolina","37139","4239"
"Franklin, Virginia","51620","4239"
"Otoe, Nebraska","31131","4239"
"Gilliam, Oregon","41021","4238"
"Campbell, Wyoming","56005","4238"
"Blount, Tennessee","47009","4237"
"Ralls, Missouri","29173","4237"
"Washington, Idaho","16087","4236"
"Chesterfield, Virginia","51041","4236"
"Camas, Idaho","16025","4234"
"Simpson, Kentucky","21213","4234"
"McLean, Kentucky","21149","4234"
"Loudon, Tennessee","47105","4234"
"Pike, Missouri","29163","4234"
"Henderson, Kentucky","21101","4233"
"Shelby, Missouri","29205","4232"
"Posey, Indiana","18129","4232"
"Mellette, South Dakota","46095","4232"
"Petersburg, Virginia","51730","4232"
"Boise, Idaho","16015","4232"
"Goochland, Virginia","51075","4231"
"Sequatchie, Tennessee","47153","4231"
"Colonial Heights, Virginia","51570","4231"
"Saunders, Nebraska","31155","4231"
"Fluvanna, Virginia","51065","4231"
"Jefferson, Oregon","41031","4230"
"Madison, Illinois","17119","4230"
"Trousdale, Tennessee","47169","4230"
"Camden, North Carolina","37029","4229"
"DeKalb, Tennessee","47041","4229"
"Grundy, Missouri","29079","4229"
"Salem, Virginia","51775","4229"
"Swain, North Carolina","37173","4227"
"Wayne, Illinois","17191","4226"
"Jefferson, Idaho","16051","4226"
"Calhoun, Illinois","17013","4226"
"Smith, Tennessee","47159","4225"
"Rhea, Tennessee","47143","4225"
"Nelson, Virginia","51125","4225"
"Buena Vista, Virginia","51530","4224"
"Marion, Illinois","17121","4224"
"Gentry, Missouri","29075","4224"
"Teton, Wyoming","56039","4224"
"Currituck, North Carolina","37053","4223"
"Atchison, Missouri","29005","4223"
"Pierce, Nebraska","31139","4223"
"Jersey, Illinois","17083","4222"
"Bond, Illinois","17005","4222"
"Suffolk, Virginia","51800","4222"
"Stanton, Nebraska","31167","4222"
"Blaine, Idaho","16013","4221"
"Boyd, Nebraska","31015","4221"
"Hopewell, Virginia","51670","4221"
"Prince George, Virginia","51149","4221"
"Cass, Nebraska","31025","4220"
"Vanderburgh, Indiana","18163","4220"
"Richmond, Virginia","51760","4219"
"Haywood, North Carolina","37087","4218"
"Butler, Kentucky","21031","4218"
"Sevier, Tennessee","47155","4217"
"Meade, South Dakota","46093","4217"
"Marion, Missouri","29127","4217"
"Tripp, South Dakota","46123","4216"
"Roane, Tennessee","47145","4215"
"Ohio, Kentucky","21183","4215"
"Daviess, Kentucky","21059","4215"
"Edwards, Illinois","17047","4215"
"Nodaway, Missouri","29147","4215"
"Henrico, Virginia","51087","4214"
"Roanoke, Virginia","51161","4214"
"Isle of Wight, Virginia","51093","4213"
"Haakon, South Dakota","46055","4213"
"Warren, Kentucky","21227","4213"
"Sullivan, Missouri","29211","4213"
"Bledsoe, Tennessee","47007","4212"
"Cocke, Tennessee","47029","4211"
"Chesapeake, Virginia","51550","4211"
"Allen, Kentucky","21003","4210"
"Van Buren, Tennessee","47175","4210"
"Harrison, Missouri","29081","4210"
"Greene, Illinois","17061","4209"
"Floyd, Virginia","51063","4208"
"Fremont, Iowa","19071","4208"
"Knox, Tennessee","47093","4207"
"Surry, Virginia","51181","4207"
"Clay, Illinois","17025","4207"
"Macoupin, Illinois","17117","4206"
"Knox, Nebraska","31107","4206"
"White, Tennessee","47185","4206"
"Wabash, Illinois","17185","4206"
"Fayette, Illinois","17051","4205"
"Jones, South Dakota","46075","4205"
"Gibson, Indiana","18051","4205"
"Adair, Missouri","29001","4205"
"Crook, Wyoming","56011","4205"
"Warrick, Indiana","18173","4205"
"Trinity, California","6105","4205"
"Macon, Tennessee","47111","4205"
"Madison, North Carolina","37115","4205"
"Sarpy, Nebraska","31153","4204"
"Morrow, Oregon","41049","4204"
"Gregory, South Dakota","46053","4204"
"Hanover, Virginia","51085","4204"
"Charles City, Virginia","51036","4203"
"Carroll, Virginia","51035","4203"
"Jefferson, Tennessee","47089","4203"
"Dodge, Nebraska","31053","4203"
"Pike, Illinois","17149","4203"
"Louisa, Virginia","51109","4202"
"Knox, Missouri","29103","4202"
"Portsmouth, Virginia","51740","4202"
"Worth, Missouri","29227","4202"
"Montgomery, Illinois","17135","4201"
"Butte, South Dakota","46019","4201"
"Mercer, Missouri","29129","4201"
"Jackson, Tennessee","47087","4200"
"Virginia Beach, Virginia","51810","4199"
"Charlottesville, Virginia","51540","4199"
"Galax, Virginia","51640","4198"
"Spencer, Indiana","18147","4198"
"Park, Wyoming","56029","4198"
"Richland, Illinois","17159","4197"
"Norfolk, Virginia","51710","4195"
"Putnam, Tennessee","47141","4194"
"Botetourt, Virginia","51023","4194"
"Lexington, Virginia","51678","4194"
"Hancock, Kentucky","21091","4194"
"Sherman, Oregon","41055","4194"
"New Kent, Virginia","51127","4193"
"Alleghany, North Carolina","37005","4193"
"Page, Iowa","19145","4193"
"Newport News, Virginia","51700","4192"
"Lewis, Missouri","29111","4192"
"Douglas, Nebraska","31055","4192"
"Yancey, North Carolina","37199","4192"
"Albemarle, Virginia","51003","4192"
"Lawrence, South Dakota","46081","4191"
"James City, Virginia","51095","4191"
"Scott, Illinois","17171","4191"
"Edmonson, Kentucky","21061","4190"
"Hampton, Virginia","51650","4190"
"Mitchell, North Carolina","37121","4189"
"Williamsburg, Virginia","51830","4189"
"Wayne, Nebraska","31179","4188"
"Lawrence, Illinois","17101","4187"
"York, Virginia","51199","4187"
"Pike, Indiana","18125","4187"
"King William, Virginia","51101","4187"
"Effingham, Illinois","17049","4187"
"Putnam, Missouri","29171","4186"
"Poquoson, Virginia","51735","4186"
"Mills, Iowa","19129","4186"
"Cuming, Nebraska","31039","4185"
"Grayson, Kentucky","21085","4184"
"Charles Mix, South Dakota","46023","4184"
"Montgomery, Virginia","51121","4183"
"Barren, Kentucky","21009","4183"
"Greene, Tennessee","47059","4183"
"Taylor, Iowa","19173","4183"
"Fremont, Idaho","16043","4182"
"Clay, Tennessee","47027","4182"
"Monroe, Kentucky","21171","4181"
"Caroline, Virginia","51033","4180"
"Adams, Illinois","17001","4180"
"Knox, Indiana","18083","4180"
"Stanley, South Dakota","46117","4180"
"Morgan, Illinois","17137","4180"
"Avery, North Carolina","37011","4179"
"Anderson, Tennessee","47001","4179"
"Ringgold, Iowa","19159","4179"
"Radford, Virginia","51750","4178"
"Jasper, Illinois","17079","4178"
"Hamblen, Tennessee","47063","4178"
"King and Queen, Virginia","51097","4177"
"Decatur, Iowa","19053","4177"
"Baker, Oregon","41001","4177"
"Lyman, South Dakota","46085","4177"
"Cumberland, Tennessee","47035","4177"
"Butte, Idaho","16023","4177"
"Watauga, North Carolina","37189","4177"
"Gloucester, Virginia","51073","4177"
"Bon Homme, South Dakota","46009","4176"
"Washington, Nebraska","31177","4176"
"Schuyler, Missouri","29197","4176"
"Perry, Indiana","18123","4175"
"Spotsylvania, Virginia","51177","4175"
"Dubois, Indiana","18037","4175"
"Breckinridge, Kentucky","21027","4175"
"Christian, Illinois","17021","4175"
"Overton, Tennessee","47133","4172"
"Mathews, Virginia","51115","4172"
"Middlesex, Virginia","51119","4170"
"Montgomery, Iowa","19137","4170"
"Unicoi, Tennessee","47171","4170"
"Morgan, Tennessee","47129","4169"
"Essex, Virginia","51057","4169"
"Washington, Tennessee","47179","4169"
"Sangamon, Illinois","17167","4169"
"Orange, Virginia","51137","4169"
"Wayne, Iowa","19185","4169"
"Scotland, Missouri","29199","4169"
"Shelby, Illinois","17173","4168"
"Cedar, Nebraska","31027","4168"
"Daviess, Indiana","18027","4168"
"Crawford, Illinois","17033","4168"
"Brown, Illinois","17009","4168"
"Ziebach, South Dakota","46137","4168"
"Rockbridge, Virginia","51163","4167"
"Fredericksburg, Virginia","51630","4167"
"Sheridan, Wyoming","56033","4166"
"Grainger, Tennessee","47057","4166"
"Northampton, Virginia","51131","4164"
"Union, Tennessee","47173","4164"
"Pulaski, Virginia","51155","4163"
"Hart, Kentucky","21099","4163"
"Cumberland, Kentucky","21057","4163"
"Lancaster, Virginia","51103","4162"
"Ashe, North Carolina","37009","4162"
"Metcalfe, Kentucky","21169","4161"
"Adams, Iowa","19003","4161"
"Richmond, Virginia","51159","4161"
"Clark, Missouri","29045","4160"
"Pottawattamie, Iowa","19155","4159"
"King George, Virginia","51099","4159"
"Cumberland, Illinois","17035","4159"
"Appanoose, Iowa","19007","4159"
"Carter, Tennessee","47019","4159"
"Powder River, Montana","30075","4159"
"Cass, Illinois","17017","4159"
"Burt, Nebraska","31021","4158"
"Martin, Indiana","18101","4157"
"Pickett, Tennessee","47137","4157"
"Brule, South Dakota","46015","4156"
"Westmoreland, Virginia","51193","4156"
"Grayson, Virginia","51077","4156"
"Union, Iowa","19175","4156"
"Crawford, Indiana","18025","4155"
"Meade, Kentucky","21163","4155"
"Douglas, South Dakota","46043","4155"
"Clarke, Iowa","19039","4155"
"Sullivan, Indiana","18153","4154"
"Northumberland, Virginia","51133","4154"
"Waynesboro, Virginia","51820","4153"
"Fentress, Tennessee","47049","4152"
"Stafford, Virginia","51179","4152"
"Carbon, Montana","30009","4152"
"Clinton, Kentucky","21053","4151"
"Carter, Montana","30011","4151"
"Hardin, Kentucky","21093","4149"
"Orange, Indiana","18117","4148"
"Hughes, South Dakota","46065","4148"
"Lucas, Iowa","19117","4147"
"Green, Kentucky","21087","4147"
"Dixon, Nebraska","31051","4146"
"Schuyler, Illinois","17169","4146"
"Davis, Iowa","19051","4146"
"Menard, Illinois","17129","4146"
"Yankton, South Dakota","46135","4145"
"Hawkins, Tennessee","47073","4145"
"Sullivan, Tennessee","47163","4145"
"Thurston, Nebraska","31173","4145"
"Wythe, Virginia","51197","4145"
"Greene, Indiana","18055","4145"
"Perkins, South Dakota","46105","4144"
"Harrison, Iowa","19085","4144"
"Accomack, Virginia","51001","4144"
"Johnson, Tennessee","47091","4143"
"Harding, South Dakota","46063","4143"
"Big Horn, Montana","30003","4142"
"Cass, Iowa","19029","4142"
"Scott, Tennessee","47151","4141"
"Clark, Illinois","17023","4141"
"Campbell, Tennessee","47013","4140"
"Craig, Virginia","51045","4140"
"Harrison, Indiana","18061","4139"
"Larue, Kentucky","21123","4139"
"St. Mary's, Maryland","24037","4138"
"Culpeper, Virginia","51047","4138"
"Adair, Kentucky","21001","4138"
"Lawrence, Indiana","18093","4137"
"Hancock, Illinois","17067","4137"
"Moultrie, Illinois","17139","4137"
"Charles, Maryland","24017","4135"
"Russell, Kentucky","21207","4134"
"Madison, Iowa","19121","4134"
"Adair, Iowa","19001","4134"
"Monroe, Iowa","19135","4134"
"Coles, Illinois","17029","4134"
"Wayne, Kentucky","21231","4133"
"Bristol, Virginia","51520","4133"
"Dakota, Nebraska","31043","4133"
"Claiborne, Tennessee","47025","4133"
"Dewey, South Dakota","46041","4132"
"Hutchinson, South Dakota","46067","4132"
"Somerset, Maryland","24039","4131"
"Aurora, South Dakota","46003","4131"
"Van Buren, Iowa","19177","4131"
"Buffalo, South Dakota","46017","4131"
"Sully, South Dakota","46119","4130"
"Warren, Iowa","19181","4130"
"Macon, Illinois","17115","4129"
"Taylor, Kentucky","21217","4128"
"Greene, Virginia","51079","4127"
"Hancock, Tennessee","47067","4127"
"Bullitt, Kentucky","21029","4126"
"Vigo, Indiana","18167","4126"
"Clay, South Dakota","46027","4126"
"McCreary, Kentucky","21147","4126"
"Benton, Washington","53005","4125"
"Lee, Iowa","19111","4125"
"Prince William, Virginia","51153","4123"
"Clay, Indiana","18021","4123"
"Worcester, Maryland","24047","4123"
"Owen, Indiana","18119","4123"
"Monroe, Indiana","18105","4123"
"Monona, Iowa","19133","4123"
"Washington, Indiana","18175","4123"
"Shelby, Iowa","19165","4122"
"Mason, Illinois","17125","4122"
"Manassas, Virginia","51683","4122"
"Floyd, Indiana","18043","4121"
"Calvert, Maryland","24009","4121"
"Covington, Virginia","51580","4120"
"Manassas Park, Virginia","51685","4120"
"Wapello, Iowa","19179","4120"
"Wasco, Oregon","41065","4120"
"Davison, South Dakota","46035","4120"
"Madison, Virginia","51113","4119"
"Nelson, Kentucky","21179","4119"
"Clark, Idaho","16033","4119"
"Wicomico, Maryland","24045","4119"
"Logan, Illinois","17107","4119"
"Dorchester, Maryland","24019","4119"
"Washington, Virginia","51191","4118"
"Marion, Kentucky","21155","4117"
"Marion, Iowa","19125","4117"
"Whitley, Kentucky","21235","4117"
"Jefferson, Kentucky","21111","4116"
"Smyth, Virginia","51173","4114"
"Adams, Idaho","16003","4114"
"Staunton, Virginia","51790","4113"
"McDonough, Illinois","17109","4112"
"Audubon, Iowa","19009","4112"
"Jackson, Indiana","18071","4112"
"Alexandria, Virginia","51510","4111"
"Giles, Virginia","51071","4111"
"Guthrie, Iowa","19077","4111"
"Dallas, Iowa","19049","4110"
"Douglas, Illinois","17041","4109"
"Fairfax, Virginia","51059","4109"
"Umatilla, Oregon","41059","4109"
