Demographics, US by County, Population, Hispanic (Both Sexes - 2014 to 2018), 2014 - 2018
Area,County FIPS,Percent
"Howard, Texas","48227","42.0"
"Matagorda, Texas","48321","42.0"
"Union, New Mexico","35059","41.8"
"Otero, Colorado","8089","41.7"
"Curry, New Mexico","35009","41.6"
"Roosevelt, New Mexico","35041","41.5"
"Grant, Washington","53025","41.3"
"Gaines, Texas","48165","41.2"
"Glenn, California","6021","41.2"
"San Joaquin, California","6077","41.1"
"Passaic, New Jersey","34031","40.9"
"Wharton, Texas","48481","40.9"
"Scurry, Texas","48415","40.1"
"Dallas, Texas","48113","39.9"
"Adams, Colorado","8001","39.7"
"Mitchell, Texas","48335","39.5"
"Wilson, Texas","48493","39.4"
"Tom Green, Texas","48451","39.4"
"Live Oak, Texas","48297","39.4"
"Manassas Park, Virginia","51685","38.7"
"Dakota, Nebraska","31043","38.5"
"Hays, Texas","48209","38.4"
"Sandoval, New Mexico","35043","38.4"
"Cibola, New Mexico","35006","38.2"
"Otero, New Mexico","35035","38.0"
"Potter, Texas","48375","38.0"
"Guadalupe, Texas","48187","37.7"
"Prowers, Colorado","8099","37.6"
"Harding, New Mexico","35021","37.3"
"Pima, Arizona","4019","37.0"
"Nolan, Texas","48353","36.9"
"Bastrop, Texas","48021","36.8"
"Saguache, Colorado","8109","36.6"
"Stanton, Kansas","20187","36.1"
"Stevens, Kansas","20189","36.0"
"Manassas, Virginia","51683","35.9"
"Morrow, Oregon","41049","35.9"
"Morgan, Colorado","8087","35.9"
"Hamilton, Kansas","20075","35.8"
"Hemphill, Texas","48211","35.8"
"Goliad, Texas","48175","35.8"
"Jerome, Idaho","16053","35.4"
"Briscoe, Texas","48045","35.3"
"Cochise, Arizona","4003","35.3"
"Minidoka, Idaho","16067","35.1"
"Lubbock, Texas","48303","35.0"
"DeWitt, Texas","48123","34.9"
"Huerfano, Colorado","8055","34.5"
"Whitfield, Georgia","13313","34.5"
"Hall, Texas","48191","34.4"
"Menard, Texas","48327","34.3"
"Orange, California","6059","34.1"
"Knox, Texas","48275","34.0"
"Runnels, Texas","48399","33.9"
"Travis, Texas","48453","33.9"
"Power, Idaho","16077","33.9"
"Napa, California","6055","33.9"
"San Diego, California","6073","33.5"
"Santa Cruz, California","6087","33.5"
"Malheur, Oregon","41045","33.4"
"Sevier, Arkansas","5133","33.2"
"Dawson, Nebraska","31047","33.1"
"Graham, Arizona","4009","32.9"
"Jackson, Texas","48239","32.9"
"Lincoln, New Mexico","35027","32.7"
"Jeff Davis, Texas","48243","32.5"
"Bent, Colorado","8011","32.0"
"McCulloch, Texas","48307","31.9"
"Kane, Illinois","17089","31.7"
"Hood River, Oregon","41027","31.5"
"Yolo, California","6113","31.5"
"Douglas, Washington","53017","31.3"
"Kearny, Kansas","20093","31.3"
"DeSoto, Florida","12027","31.2"
"Union, New Jersey","34039","31.1"
"Crowley, Colorado","8025","31.0"
"Childress, Texas","48075","31.0"
"Lake, Colorado","8065","30.9"
"Orange, Florida","12095","30.9"
"Clark, Nevada","32003","30.9"
"Maricopa, Arizona","4013","30.8"
"Sutter, California","6101","30.6"
"Fisher, Texas","48151","30.5"
"Dickens, Texas","48125","30.4"
"Lipscomb, Texas","48295","30.3"
"Denver, Colorado","8031","30.3"
"Sierra, New Mexico","35051","30.3"
"Cumberland, New Jersey","34011","30.2"
"Lincoln, Idaho","16063","30.2"
"Brazoria, Texas","48039","30.2"
"Haskell, Kansas","20081","30.1"
"San Saba, Texas","48411","30.0"
"Pinal, Arizona","4021","29.9"
"Waller, Texas","48473","29.8"
"Eagle, Colorado","8037","29.7"
"Colorado, Texas","48089","29.5"
"Weld, Colorado","8123","29.2"
"Wichita, Kansas","20203","29.2"
"Gooding, Idaho","16047","29.1"
"Broward, Florida","12011","29.1"
"Wilbarger, Texas","48487","29.0"
"Haskell, Texas","48207","28.7"
"Harmon, Oklahoma","40057","28.6"
"Tarrant, Texas","48439","28.5"
"Gray, Texas","48179","28.5"
