fips,pesticide_mass
20199,263385.85
20201,551250.25
20203,336917.64999999997
20205,221556.3
20207,126757.85
20209,16186.2
21001,38366.0
21003,46009.850000000006
21005,6908.900000000001
21007,113608.40000000001
21009,115780.65000000001
21011,9185.9
21013,686.35
21015,14396.95
21017,32387.0
21019,1268.9
21021,8731.7
21023,12121.2
21025,2209.3
21027,101383.45
21029,10019.05
21031,56856.25
21033,105108.79999999999
21035,151844.35
21037,2523.75
21039,117608.79999999999
21041,4781.0
21043,4031.1
21045,29418.949999999997
21047,361009.55
21049,27689.85
21051,10187.45
21053,4645.0
21055,73781.55
21057,7721.349999999999
21059,285721.0
21061,18968.25
21063,2069.6
21065,4876.55
21067,16649.9
21069,38163.1
21071,678.6500000000001
21073,8070.900000000001
21075,133693.95
21077,11994.3
21079,21585.1
21081,10548.65
21083,290272.05
21085,46253.049999999996
21087,70756.95
21089,5292.7
21091,20856.5
21093,77266.25
21095,845.75
21097,38028.0
21099,32071.600000000002
21101,220472.75
21103,33587.25
21105,171197.0
21107,104766.40000000001
21109,3030.9
21111,3176.15
21113,7792.55
21115,1280.25
21117,2942.4
21119,523.85
21121,2830.2
21123,61836.799999999996
21125,8613.4
21127,1727.75
21129,1053.35
21131,69.05000000000001
21133,583.6
21135,28872.300000000003
21137,31238.350000000002
21139,51909.450000000004
21141,241184.5
21143,14567.099999999999
21145,65325.15
21147,1511.6000000000001
21149,145120.3
21151,10389.0
21153,1824.3500000000001
21155,52964.6
21157,54276.1
21159,376.59999999999997
21161,36782.25
21163,54792.05
21165,4362.3
21167,19302.45
21169,47246.75
21171,44872.15
21173,10521.1
21175,5420.650000000001
21177,70883.5
21179,78178.85
21181,25134.300000000003
21183,94587.6
21185,11789.9
21187,22149.5
21189,2782.0499999999997
21191,9580.35
21193,1327.5
21195,1736.65
21197,8181.25
21199,63429.15
21201,924.15
21203,6801.349999999999
21205,4591.25
21207,17239.9
21209,21264.95
21211,79591.55
21213,123157.1
21215,24174.550000000003
21217,43163.200000000004
21219,184114.4
21221,105098.05
21223,21538.0
21225,264923.6
21227,108303.15000000001
21229,14167.9
21231,26142.899999999998
21233,153163.25
21235,4114.95
21237,2088.5
21239,21192.149999999998
22001,172551.19999999998
22003,30950.75
22005,23515.0
22007,33735.95
22009,368043.25
22011,20691.4
22013,2314.7
22015,51503.1
22017,231386.05
22019,35702.45
22021,60819.549999999996
22023,18559.2
22025,381704.0
22027,10334.25
22029,451359.60000000003
22031,34227.05
22033,14105.5
22035,691864.15
22037,12601.75
22039,152417.8
22041,419052.4
22043,38860.05
22045,45647.95
22047,41859.6
22049,1944.1
22051,1490.75
22053,111213.9
22055,53849.700000000004
22057,16966.75
22059,5236.2
22061,8119.15
22063,709.1999999999999
22065,674772.95
22067,612673.25
22069,114141.25
22071,1110.45
22073,162359.44999999998
22075,5688.15
22077,185569.35
22079,232814.1
22081,41276.65
22083,419888.85
22085,6810.0
22087,1428.3
22089,3268.5499999999997
22091,3489.4500000000003
22093,17612.8
22095,7971.199999999999
22097,312937.2
22099,50814.35
22101,18080.35
22103,1983.6000000000001
22105,19613.5
22107,588903.8
22109,10225.05
22111,7236.650000000001
22113,95078.7
22115,5120.95
22117,38615.05
22119,11818.949999999999
22121,23114.9
22123,286526.55
22125,98122.3
22127,2804.5
23001,7897.0
23003,253919.0
23005,4422.15
23007,1754.7
23009,982.5999999999999
23011,10120.65
23013,3561.55
23015,4171.55
23017,19168.399999999998
23019,21810.5
23021,1540.7
23023,3435.2
23025,9669.6
23027,4228.849999999999
23029,2817.45
23031,5553.0
24001,6934.75
24003,15230.1
24005,94935.95
24009,12591.0
24011,208254.25
24013,192473.15
24015,84833.75
24017,24705.100000000002
24019,95112.9
24021,226243.75
24023,35484.95
24025,97775.3
24027,22248.600000000002
24029,219010.6
24031,77655.6
24033,15878.65
24035,279035.9
24037,48349.950000000004
24039,41228.4
24041,162271.4
24043,148482.8
24045,60746.950000000004
24047,74903.55
25001,1091.75
25003,7613.65
25005,8923.05
25007,1469.9
25009,7500.2
25011,24794.65
