fips,total_hospitals
47051,3
47053,2
47055,1
47059,3
47063,2
47065,14
47067,1
47069,1
47071,1
47073,1
47075,1
47077,1
47079,1
47081,1
47083,1
47085,1
47087,1
47089,1
47091,1
47093,16
47097,1
47099,1
47103,1
47105,1
47107,2
47111,1
47113,3
47115,2
47117,1
47119,1
47123,1
47125,3
47131,1
47133,1
47135,1
47139,1
47141,1
47143,1
47145,3
47147,1
47149,4
47151,1
47153,1
47155,1
47157,29
47159,1
47163,6
47165,6
47167,1
47169,1
47171,2
47177,1
47179,6
47181,1
47183,2
47185,1
47187,2
47189,2
48001,2
48003,1
48005,4
48013,1
48015,1
48017,1
48021,2
48023,1
48025,1
48027,13
48029,52
48035,1
48037,6
48039,6
48041,7
48043,1
48049,1
48051,1
48053,2
48055,2
48057,1
48061,11
48063,1
48067,2
48069,1
48071,3
48073,3
48075,1
48077,2
48079,1
48083,1
48085,33
48087,1
48089,3
48091,4
48093,1
48095,1
48097,2
48099,2
48103,2
48107,1
48109,1
48113,55
48115,1
48117,1
48121,19
48123,1
48127,1
48133,1
48135,4
48139,4
48141,24
48143,1
48145,1
48147,2
48149,1
48151,1
48153,1
48157,13
48159,1
48161,1
48163,2
48165,1
48167,5
48171,1
48177,1
48179,1
48181,10
48183,7
48185,1
48187,2
48189,2
48193,1
48195,1
48197,2
48199,1
48201,105
48203,1
48205,1
48207,1
48209,6
48211,1
48213,1
48215,20
48217,2
48219,1
48221,1
48223,1
48225,1
48227,3
48231,2
48233,1
48237,1
48239,1
48241,1
48245,14
48249,1
48251,2
48253,3
48255,1
48257,2
48265,4
48267,1
48273,1
48275,1
48277,3
48279,1
48281,1
48285,2
48291,3
48293,2
48299,1
48303,12
48305,1
48307,1
48309,6
48313,1
48317,1
48321,2
48323,2
48325,1
48329,4
48331,2
48335,1
48337,2
48339,19
48341,1
48347,3
48349,1
48353,1
48355,15
48357,1
48361,1
48363,1
48365,1
48367,2
48369,1
48371,2
48373,1
48375,10
48381,1
48383,1
48389,1
48391,1
48397,3
48399,2
48401,1
48403,1
48405,1
48409,1
48413,1
48415,1
48423,10
48425,1
48427,1
48429,1
48433,1
48435,1
48437,1
48439,59
48441,5
48445,1
48447,1
48449,1
48451,5
48453,31
48455,1
48457,1
48461,2
48463,1
48465,2
48467,1
48469,7
48471,1
48475,1
48477,1
48479,7
48481,2
48483,2
48485,7
48487,2
48491,14
48493,1
48495,1
48497,3
48499,2
48501,1
48503,2
49001,2
49003,2
49005,2
49007,1
49011,8
49013,2
49017,1
49019,1
49021,1
49023,1
49025,1
49027,2
49035,24
49037,2
49039,2
49041,1
49043,1
49045,1
49047,1
49049,12
49051,1
49053,2
49057,3
50001,1
50003,1
50005,1
50007,1
50011,1
50015,1
50017,1
50019,1
50021,1
50023,3
50025,3
50027,3
51003,4
51005,1
51013,1
51015,1
51017,1
51019,1
51027,1
51041,4
51047,1
51051,1
51053,1
51057,1
51059,8
51061,1
51067,1
51071,2
51073,1
51075,1
51083,1
51085,2
51087,5
51095,3
51103,1
51105,1
51107,4
51117,1
51121,2
51127,1
51131,1
51135,1
51139,1
51141,1
51147,1
51153,2
51155,1
51161,1
51165,1
51167,1
51171,1
51173,3
51177,1
51179,1
51185,2
51187,1
51191,1
51195,1
51197,1
51199,3
51510,1
51520,2
51540,1
51550,1
51590,2
51595,1
51620,1
51630,2
51640,1
51650,4
51660,1
51670,1
51678,1
51680,4
51683,1
51690,1
51700,6
51710,7
51720,2
51730,3
51740,2
51760,9
51770,2
51775,2
51790,2
51800,3
51810,5
51830,1
51840,2
53001,2
53003,1
53005,4
53007,4
53009,2
53011,5
53013,1
53015,2
53019,1
53021,1
53023,1
53025,4
53027,4
53029,1
53031,1
53033,35
53035,3
53037,1
53039,2
53041,2
53043,2
53045,1
53047,3
53049,2
53051,1
53053,15
53055,1
53057,3
53061,9
53063,11
53065,2
53067,3
53071,3
53073,2
53075,2
53077,4
54001,1
54003,2
54005,1
54007,1
54009,2
54011,6
54013,1
54019,2
54023,1
54025,1
